epoch 1, minibatch 1/2, validation error 80.000000 %
epoch 2, minibatch 1/2, validation error 76.000000 %
epoch 3, minibatch 1/2, validation error 76.000000 %
epoch 4, minibatch 1/2, validation error 78.000000 %
epoch 5, minibatch 1/2, validation error 78.000000 %
epoch 6, minibatch 1/2, validation error 78.000000 %
epoch 7, minibatch 1/2, validation error 78.000000 %
epoch 8, minibatch 1/2, validation error 82.000000 %
epoch 9, minibatch 1/2, validation error 76.000000 %
epoch 10, minibatch 1/2, validation error 80.000000 %
epoch 11, minibatch 1/2, validation error 76.000000 %
epoch 12, minibatch 1/2, validation error 74.000000 %
epoch 13, minibatch 1/2, validation error 66.000000 %
epoch 14, minibatch 1/2, validation error 66.000000 %
epoch 15, minibatch 1/2, validation error 58.000000 %
epoch 16, minibatch 1/2, validation error 54.000000 %
epoch 17, minibatch 1/2, validation error 52.000000 %
epoch 18, minibatch 1/2, validation error 48.000000 %
epoch 19, minibatch 1/2, validation error 42.000000 %
epoch 20, minibatch 1/2, validation error 42.000000 %
epoch 21, minibatch 1/2, validation error 38.000000 %
epoch 22, minibatch 1/2, validation error 38.000000 %
epoch 23, minibatch 1/2, validation error 36.000000 %
epoch 24, minibatch 1/2, validation error 34.000000 %
epoch 25, minibatch 1/2, validation error 34.000000 %
epoch 26, minibatch 1/2, validation error 34.000000 %
epoch 27, minibatch 1/2, validation error 34.000000 %
epoch 28, minibatch 1/2, validation error 32.000000 %
epoch 29, minibatch 1/2, validation error 32.000000 %
epoch 30, minibatch 1/2, validation error 32.000000 %
epoch 31, minibatch 1/2, validation error 32.000000 %
epoch 32, minibatch 1/2, validation error 32.000000 %
epoch 33, minibatch 1/2, validation error 32.000000 %
epoch 34, minibatch 1/2, validation error 32.000000 %
epoch 35, minibatch 1/2, validation error 32.000000 %
epoch 36, minibatch 1/2, validation error 32.000000 %
epoch 37, minibatch 1/2, validation error 32.000000 %
epoch 38, minibatch 1/2, validation error 30.000000 %
epoch 39, minibatch 1/2, validation error 30.000000 %
epoch 40, minibatch 1/2, validation error 28.000000 %
epoch 41, minibatch 1/2, validation error 28.000000 %
epoch 42, minibatch 1/2, validation error 28.000000 %
epoch 43, minibatch 1/2, validation error 28.000000 %
epoch 44, minibatch 1/2, validation error 28.000000 %
epoch 45, minibatch 1/2, validation error 28.000000 %
epoch 46, minibatch 1/2, validation error 28.000000 %
epoch 47, minibatch 1/2, validation error 28.000000 %
epoch 48, minibatch 1/2, validation error 28.000000 %
epoch 49, minibatch 1/2, validation error 28.000000 %
epoch 50, minibatch 1/2, validation error 28.000000 %
epoch 51, minibatch 1/2, validation error 28.000000 %
epoch 52, minibatch 1/2, validation error 28.000000 %
epoch 53, minibatch 1/2, validation error 26.000000 %
epoch 54, minibatch 1/2, validation error 26.000000 %
epoch 55, minibatch 1/2, validation error 26.000000 %
epoch 56, minibatch 1/2, validation error 26.000000 %
epoch 57, minibatch 1/2, validation error 22.000000 %
epoch 58, minibatch 1/2, validation error 22.000000 %
epoch 59, minibatch 1/2, validation error 22.000000 %
epoch 60, minibatch 1/2, validation error 22.000000 %
epoch 61, minibatch 1/2, validation error 22.000000 %
epoch 62, minibatch 1/2, validation error 22.000000 %
epoch 63, minibatch 1/2, validation error 22.000000 %
epoch 64, minibatch 1/2, validation error 22.000000 %
epoch 65, minibatch 1/2, validation error 22.000000 %
epoch 66, minibatch 1/2, validation error 22.000000 %
epoch 67, minibatch 1/2, validation error 22.000000 %
epoch 68, minibatch 1/2, validation error 22.000000 %
epoch 69, minibatch 1/2, validation error 22.000000 %
epoch 70, minibatch 1/2, validation error 22.000000 %
epoch 71, minibatch 1/2, validation error 22.000000 %
epoch 72, minibatch 1/2, validation error 22.000000 %
epoch 73, minibatch 1/2, validation error 22.000000 %
epoch 74, minibatch 1/2, validation error 22.000000 %
epoch 75, minibatch 1/2, validation error 22.000000 %
epoch 76, minibatch 1/2, validation error 22.000000 %
epoch 77, minibatch 1/2, validation error 22.000000 %
epoch 78, minibatch 1/2, validation error 22.000000 %
epoch 79, minibatch 1/2, validation error 22.000000 %
epoch 80, minibatch 1/2, validation error 22.000000 %
epoch 81, minibatch 1/2, validation error 22.000000 %
epoch 82, minibatch 1/2, validation error 22.000000 %
epoch 83, minibatch 1/2, validation error 22.000000 %
epoch 84, minibatch 1/2, validation error 22.000000 %
epoch 85, minibatch 1/2, validation error 22.000000 %
epoch 86, minibatch 1/2, validation error 22.000000 %
epoch 87, minibatch 1/2, validation error 22.000000 %
epoch 88, minibatch 1/2, validation error 22.000000 %
epoch 89, minibatch 1/2, validation error 22.000000 %
epoch 90, minibatch 1/2, validation error 22.000000 %
epoch 91, minibatch 1/2, validation error 22.000000 %
epoch 92, minibatch 1/2, validation error 22.000000 %
epoch 93, minibatch 1/2, validation error 22.000000 %
epoch 94, minibatch 1/2, validation error 22.000000 %
epoch 95, minibatch 1/2, validation error 22.000000 %
epoch 96, minibatch 1/2, validation error 22.000000 %
epoch 97, minibatch 1/2, validation error 22.000000 %
epoch 98, minibatch 1/2, validation error 22.000000 %
epoch 99, minibatch 1/2, validation error 22.000000 %
epoch 100, minibatch 1/2, validation error 22.000000 %
finished training
